nama_sample,ph_label,ppm_label,ntu_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,suhu
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48952.30,2.4650,11166.80,0.5623,0.5165,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49105.90,2.4727,11117.20,0.5598,0.5142,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49051.50,2.4700,11120.40,0.5600,0.5143,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48790.60,2.4568,11162.00,0.5621,0.5162,2168,1.7471,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49040.30,2.4694,11170.00,0.5625,0.5166,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48963.50,2.4655,11144.40,0.5612,0.5160,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48865.80,2.4606,11146.00,0.5613,0.5155,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48934.50,2.4641,11126.80,0.5603,0.5146,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48867.30,2.4607,11155.60,0.5617,0.5159,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48973.10,2.4660,11173.20,0.5626,0.5168,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48987.50,2.4668,11163.60,0.5621,0.5169,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49024.30,2.4686,11163.60,0.5621,0.5169,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48950.60,2.4649,11187.60,0.5633,0.5174,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49008.30,2.4678,11197.20,0.5638,0.5179,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49041.90,2.4695,11150.80,0.5615,0.5163,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48985.90,2.4667,11184.40,0.5632,0.5179,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49014.70,2.4681,11154.00,0.5617,0.5165,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49094.70,2.4722,11186.00,0.5633,0.5174,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49017.90,2.4683,11179.60,0.5629,0.5171,2193,1.7673,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48982.60,2.4665,11147.60,0.5613,0.5162,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48966.60,2.4657,11194.00,0.5637,0.5183,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49093.20,2.4721,11158.80,0.5619,0.5161,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48942.70,2.4645,11206.80,0.5643,0.5183,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48832.10,2.4589,11189.20,0.5634,0.5181,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48904.20,2.4626,11198.80,0.5639,0.5179,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49126.80,2.4738,11126.80,0.5603,0.5146,2181,1.7576,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49086.70,2.4717,11133.20,0.5606,0.5149,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48861.00,2.4604,11226.00,0.5653,0.5198,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49054.70,2.4701,11181.20,0.5630,0.5177,2188,1.7632,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49033.90,2.4691,11174.80,0.5627,0.5168,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48965.00,2.4656,11176.40,0.5628,0.5175,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49000.40,2.4674,11171.60,0.5625,0.5167,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49043.50,2.4696,11181.20,0.5630,0.5177,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49008.30,2.4678,11184.40,0.5632,0.5179,2180,1.7568,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49024.30,2.4686,11179.60,0.5629,0.5177,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49162.00,2.4755,11219.60,0.5650,0.5195,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49040.20,2.4694,11178.00,0.5629,0.5170,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49013.10,2.4680,11227.60,0.5654,0.5193,2168,1.7471,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48939.30,2.4643,11182.80,0.5631,0.5172,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49142.80,2.4746,11224.40,0.5652,0.5191,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49069.10,2.4709,11234.00,0.5657,0.5196,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49062.70,2.4705,11141.20,0.5610,0.5159,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49139.50,2.4744,11179.60,0.5629,0.5177,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49069.00,2.4709,11170.00,0.5625,0.5172,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49013.10,2.4680,11218.00,0.5649,0.5194,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49049.80,2.4699,11126.80,0.5603,0.5146,2167,1.7463,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49022.60,2.4685,11134.80,0.5607,0.5156,2178,1.7552,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49163.60,2.4756,11141.20,0.5610,0.5159,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49194.00,2.4772,11181.20,0.5630,0.5177,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49221.20,2.4785,11176.40,0.5628,0.5169,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49166.70,2.4758,11131.60,0.5605,0.5148,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49131.40,2.4740,11155.60,0.5617,0.5165,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49150.70,2.4750,11174.80,0.5627,0.5168,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49318.80,2.4834,11136.40,0.5608,0.5151,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49232.30,2.4791,11187.60,0.5633,0.5180,2176,1.7536,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49272.40,2.4811,11170.00,0.5625,0.5166,2149,1.7318,0.05,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49232.40,2.4791,11128.40,0.5604,0.5147,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49290.00,2.4820,11173.20,0.5626,0.5174,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49413.20,2.4882,11163.60,0.5621,0.5169,2184,1.7600,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49421.20,2.4886,11242.00,0.5661,0.5205,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49182.60,2.4766,11248.40,0.5664,0.5202,2166,1.7455,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49297.90,2.4824,11227.60,0.5654,0.5193,2166,1.7455,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49264.30,2.4807,11238.80,0.5659,0.5204,2179,1.7560,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49336.30,2.4843,11190.80,0.5635,0.5182,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49278.80,2.4814,11194.00,0.5637,0.5177,2160,1.7407,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49165.00,2.4757,11155.60,0.5617,0.5165,2176,1.7536,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49182.80,2.4766,11189.20,0.5634,0.5175,2181,1.7576,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49387.70,2.4869,11157.20,0.5618,0.5166,2175,1.7527,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49237.00,2.4793,11160.40,0.5620,0.5162,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49314.00,2.4832,11171.60,0.5625,0.5167,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49230.70,2.4790,11176.40,0.5628,0.5169,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49277.10,2.4813,11192.40,0.5636,0.5176,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49389.20,2.4870,11166.80,0.5623,0.5165,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49262.70,2.4806,11059.60,0.5569,0.5121,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49219.40,2.4784,11205.20,0.5642,0.5182,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49259.50,2.4805,11179.60,0.5629,0.5177,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49171.50,2.4760,11178.00,0.5629,0.5170,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49242.00,2.4796,11198.80,0.5639,0.5185,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49312.40,2.4831,11141.20,0.5610,0.5159,2165,1.7447,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49176.30,2.4763,11200.40,0.5640,0.5180,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49222.70,2.4786,11139.60,0.5609,0.5152,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49225.90,2.4788,11179.60,0.5629,0.5177,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49105.80,2.4727,11221.20,0.5650,0.5190,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49197.10,2.4773,11163.60,0.5621,0.5169,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49241.80,2.4796,11149.20,0.5614,0.5157,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49321.90,2.4836,11166.80,0.5623,0.5171,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49307.60,2.4829,11166.80,0.5623,0.5165,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49307.60,2.4829,11152.40,0.5616,0.5158,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49370.00,2.4860,11117.20,0.5598,0.5148,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49201.90,2.4776,11186.00,0.5633,0.5174,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49216.30,2.4783,11147.60,0.5613,0.5162,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49118.60,2.4734,11136.40,0.5608,0.5151,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49326.70,2.4838,11118.80,0.5599,0.5142,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49213.10,2.4781,11133.20,0.5606,0.5155,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49238.70,2.4794,11146.00,0.5613,0.5161,2171,1.7495,0.00,29.38
