nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46996.60,2.3665,14180.60,0.7141,0.6566,2166,1.7455,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47308.80,2.3822,13370.80,0.6733,0.6184,2161,1.7415,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47134.20,2.3734,13948.50,0.7024,0.6451,2164,1.7439,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47635.20,2.3987,15393.60,0.7751,0.7128,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47662.50,2.4000,14454.20,0.7278,0.6693,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47448.10,2.3892,13818.80,0.6958,0.6399,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47433.50,2.3885,14543.90,0.7324,0.6734,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47696.00,2.4017,14116.70,0.7108,0.6536,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47620.70,2.3979,13787.00,0.6942,0.6376,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47878.50,2.4109,14958.20,0.7532,0.6926,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47403.00,2.3870,14422.30,0.7262,0.6678,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47235.20,2.3785,13234.80,0.6664,0.6121,2163,1.7431,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47736.00,2.4037,13484.40,0.6790,0.6237,2163,1.7431,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47676.80,2.4008,14736.00,0.7420,0.6823,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47726.50,2.4033,14470.20,0.7286,0.6700,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47569.80,2.3954,13820.40,0.6959,0.6399,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47396.60,2.3866,14691.10,0.7398,0.6802,2163,1.7431,0.00,29.38
